Previous Rank,Weeks on List,ISBN,Price,Author,Title,Rank,List,Week
5,42,9780525435006,15.95,Margaret Atwood,The Handmaid's Tale,9,Trade Paperback Fiction,2/14/2018
,1,9780804190138,16,Ernest Cline,Ready Player One,10,Trade Paperback Fiction,2/14/2018
11,37,9780735221109,16,Shari Lapena,The Couple Next Door,11,Trade Paperback Fiction,2/14/2018
8,19,9781449486792,16.99,Rupi Kaur,The Sun and Her Flowers,12,Trade Paperback Fiction,2/14/2018
13,75,9781449474256,14.99,Rupi Kaur,Milk and Honey,13,Trade Paperback Fiction,2/14/2018
,1,9780062356277,16.99,Christina Baker Kline,A Piece of the World,14,Trade Paperback Fiction,2/14/2018
12,5,9781250169440,17,Andre Aciman,Call Me by Your Name,15,Trade Paperback Fiction,2/14/2018
1,134,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,2/14/2018
2,11,9781101912379,20,Peter Frankopan,The Silk Roads,2,Trade Paperback Nonfiction,2/14/2018
3,7,9781501178511,18,Doug Stanton,12 Strong,3,Trade Paperback Nonfiction,2/14/2018
7,34,9781476759739,16,Jonah Berger,Invisible Influence,4,Trade Paperback Nonfiction,2/14/2018
5,23,9781250076229,16,Atul Gawande,Being Mortal,5,Trade Paperback Nonfiction,2/14/2018
4,22,9781455540013,15.99,Douglas J. Preston,The Lost City of the Monkey God,6,Trade Paperback Nonfiction,2/14/2018
6,76,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,7,Trade Paperback Nonfiction,2/14/2018
8,56,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,8,Trade Paperback Nonfiction,2/14/2018
10,39,9780553447453,17,Matthew Desmond,Evicted,9,Trade Paperback Nonfiction,2/14/2018
9,15,9780393354775,16.95,Michael Lewis,The Undoing Project,10,Trade Paperback Nonfiction,2/14/2018
15,2,9781591846444,16,Simon Sinek,Start With Why,11,Trade Paperback Nonfiction,2/14/2018
13,2,9781591848011,17,Simon Sinek,Leaders Eat Last,12,Trade Paperback Nonfiction,2/14/2018
,20,9781937006884,9.95,Thich Nhat Hanh,How to Love,13,Trade Paperback Nonfiction,2/14/2018
14,2,9780812985795,18,Sheelah Kolhatkar,Black Edge,14,Trade Paperback Nonfiction,2/14/2018
12,17,9781476796024,17,Alexandra Horowitz,Being a Dog,15,Trade Paperback Nonfiction,2/14/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,1,Young Adult,2/14/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,2,Young Adult,2/14/2018
,,9780375847110,18.99,Tamora Pierce,Tempests and Slaughter,3,Young Adult,2/14/2018
,,9780525581611,10.99,David Levithan,Every Day,4,Young Adult,2/14/2018
,,9781250147905,16.99,Melissa Albert,The Hazel Wood,5,Young Adult,2/14/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,6,Young Adult,2/14/2018
,,9780062792167,10.99,Becky Albertalli,Simon vs. the Homo Sapiens Agenda,7,Young Adult,2/14/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",8,Young Adult,2/14/2018
,,9780316310277,18.99,Holly Black,The Cruel Prince,9,Young Adult,2/14/2018
